"panel","level","task","nt","stim","idx","trial","Oz"
"A","trial","RL","DA","Pre-Stim",3,19,-7.81559440137909
"A","trial","RL","DA","Pre-Stim",3,20,-8.00459228152552
"A","trial","RL","DA","Pre-Stim",3,21,-6.91834238083496
"A","trial","RL","DA","Pre-Stim",3,22,-8.87108194116005
"A","trial","RL","DA","Pre-Stim",3,23,-8.22028275998131
"A","trial","RL","DA","Pre-Stim",3,24,-7.83609598492051
"A","trial","RL","DA","Pre-Stim",3,25,-7.45295896403217
"A","trial","RL","DA","Pre-Stim",3,26,-8.44893973690343
"A","trial","RL","DA","Pre-Stim",3,27,-7.77060122242594
"A","trial","RL","DA","Pre-Stim",3,28,-8.77461728610463
"A","trial","RL","DA","Pre-Stim",3,29,-6.78609580962876
"A","trial","RL","DA","Pre-Stim",3,30,-6.25321006812896
"A","trial","RL","DA","Pre-Stim",3,31,-8.44091558162345
"A","trial","RL","DA","Pre-Stim",3,32,-7.91687199120554
"A","trial","RL","DA","Pre-Stim",3,33,-5.29685812144141
"A","trial","RL","DA","Pre-Stim",3,34,-7.94440884686752
"A","trial","RL","DA","Pre-Stim",3,35,-6.99010603447612
"A","trial","RL","DA","Pre-Stim",3,36,-6.1652631901907
"A","trial","RL","DA","Pre-Stim",3,37,-6.20889247928586
"A","trial","RL","DA","Pre-Stim",3,38,-7.32264400861645
"A","trial","RL","DA","Pre-Stim",3,39,-6.94797344138285
"A","trial","RL","DA","Pre-Stim",3,40,-8.03938066758189
"A","trial","RL","DA","Pre-Stim",3,41,-7.46937194806535
"A","trial","RL","DA","Pre-Stim",3,42,-6.21606940112618
"A","trial","RL","DA","Pre-Stim",3,43,-5.94418950488794
"A","trial","RL","DA","Pre-Stim",3,44,-6.35402616651973
"A","trial","RL","DA","Pre-Stim",3,45,-6.1364119711472
"A","trial","RL","DA","Pre-Stim",3,46,-6.22988664598662
"A","trial","RL","DA","Pre-Stim",3,47,-7.2319732374042
"A","trial","RL","DA","Pre-Stim",3,48,-5.4050022993034
"A","trial","RL","DA","Pre-Stim",3,49,-6.23132959958569
"A","trial","RL","DA","Pre-Stim",3,50,-7.44291307454274
"A","trial","RL","DA","Pre-Stim",3,51,-6.0968883104916
"A","trial","RL","DA","Pre-Stim",3,52,-5.99667514865717
"A","trial","RL","DA","Pre-Stim",3,53,-5.75524338522888
"A","trial","RL","DA","Pre-Stim",3,54,-5.83186612836474
"A","trial","RL","DA","Pre-Stim",3,55,-6.67882353474642
"A","trial","RL","DA","Pre-Stim",3,56,-6.062063784139
"A","trial","RL","DA","Pre-Stim",3,57,-6.5810031529073
"A","trial","RL","DA","Pre-Stim",3,58,-6.29240985326687
"A","trial","RL","DA","Pre-Stim",3,59,-4.24665909122398
"A","trial","RL","DA","Pre-Stim",3,60,-4.94393662232399
"A","trial","RL","DA","Pre-Stim",3,61,-5.43005146580201
"A","trial","RL","DA","Pre-Stim",3,62,-4.80288191372856
"A","trial","RL","DA","Pre-Stim",3,63,-4.44114083761397
"A","trial","RL","DA","Pre-Stim",3,64,-4.87363341756929
"A","trial","RL","DA","Pre-Stim",3,65,-5.72968298321286
"A","trial","RL","DA","Pre-Stim",3,66,-2.89733220425853
"A","trial","RL","DA","Pre-Stim",3,67,-4.45482113170205
"A","trial","RL","DA","Pre-Stim",3,68,-3.45196053816411
"A","trial","RL","DA","Pre-Stim",3,69,-6.13623030718254
"A","trial","RL","DA","Pre-Stim",3,70,-4.49509982822946
"A","trial","RL","DA","Pre-Stim",3,71,-3.46930299905692
"A","trial","RL","DA","Pre-Stim",3,72,-3.82513965342746
"A","trial","RL","DA","Pre-Stim",3,73,-3.20656623078396
"A","trial","RL","DA","Pre-Stim",3,74,-2.17481703774048
"A","trial","RL","DA","Pre-Stim",3,75,-4.52026981161696
"A","trial","RL","DA","Pre-Stim",3,76,-4.41491548423459
"A","trial","RL","DA","Pre-Stim",3,77,-2.24282602472298
"A","trial","RL","DA","Pre-Stim",3,78,-2.55121704214401
"A","trial","RL","DA","Pre-Stim",3,79,-3.7301144241384
"A","trial","RL","DA","Pre-Stim",3,80,-2.57484428587727
"A","trial","RL","DA","Pre-Stim",3,81,-3.78760554429619
"A","trial","RL","DA","Pre-Stim",3,82,-3.56140114459257
"A","trial","RL","DA","Pre-Stim",3,83,-1.85368978987376
"A","trial","RL","DA","Pre-Stim",3,84,-1.71450606859432
"A","trial","RL","DA","Pre-Stim",3,85,-3.67675609324826
"A","trial","RL","DA","Pre-Stim",3,86,-3.80473470118017
"A","trial","RL","DA","Pre-Stim",3,87,-2.18539268474402
"A","trial","RL","DA","Pre-Stim",3,88,-1.92208937295546
"A","trial","RL","DA","Pre-Stim",3,89,-2.52568395212085
"A","trial","RL","DA","Pre-Stim",3,90,-1.20941927780979
"A","trial","RL","DA","Pre-Stim",3,91,-2.67157091337341
"A","trial","RL","DA","Pre-Stim",3,92,-3.88561305641802
"A","trial","RL","DA","Pre-Stim",3,93,-1.20209860610552
"A","trial","RL","DA","Pre-Stim",3,94,-1.5431798598913
"A","trial","RL","DA","Pre-Stim",3,95,-0.565283716151887
"A","trial","RL","DA","Pre-Stim",3,96,-1.59084708787187
"A","trial","RL","DA","Pre-Stim",3,97,-1.76476214923611
"A","trial","RL","DA","Pre-Stim",3,98,-2.76860342916308
"A","trial","RL","DA","Pre-Stim",3,99,-1.68514538671872
"A","trial","RL","DA","Pre-Stim",3,100,-0.421404614847435
"A","trial","RL","DA","Pre-Stim",3,101,-1.37331866852964
"A","trial","RL","DA","Pre-Stim",3,102,-1.01236052625942
"A","trial","RL","DA","Pre-Stim",3,103,-1.95244756199474
"A","trial","RL","DA","Pre-Stim",3,104,-0.390564240619485
"A","trial","RL","DA","Pre-Stim",3,105,-0.986658701710936
"A","trial","RL","SE","Post-Stim",3,1,-7.50261913579031
"A","trial","RL","SE","Post-Stim",3,2,-8.57987485549805
"A","trial","RL","SE","Post-Stim",3,3,9.77053555481304
"A","trial","RL","SE","Post-Stim",3,4,-4.55260512869316
"A","trial","RL","SE","Post-Stim",3,5,-3.72389841380345
"A","trial","RL","SE","Post-Stim",3,6,-4.98047005302727
"A","trial","RL","SE","Post-Stim",3,7,-3.3212558127302
"A","trial","RL","SE","Post-Stim",3,8,-3.74956867470358
"A","trial","RL","SE","Post-Stim",3,9,-4.17376458677098
"A","trial","RL","SE","Post-Stim",3,10,4.83954214978759
