"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","5-HT","Post-Stim",3,30,NA,-3.06226808864611
"A","trial","RL","5-HT","Post-Stim",3,31,NA,-0.43235896218164
"A","trial","RL","5-HT","Post-Stim",3,32,NA,6.26648516905584
"A","trial","RL","5-HT","Post-Stim",3,33,NA,-1.12591880499169
"A","trial","RL","5-HT","Post-Stim",3,34,NA,-3.45727611737927
"A","trial","RL","5-HT","Post-Stim",3,35,NA,2.06989689297413
"A","trial","RL","5-HT","Post-Stim",3,36,NA,-2.38958290350101
"A","trial","RL","5-HT","Post-Stim",3,37,NA,3.30022430473182
"A","trial","RL","5-HT","Post-Stim",3,38,NA,-4.1326495787978
"A","trial","RL","5-HT","Post-Stim",3,39,NA,-3.67949441185789
"A","trial","RL","5-HT","Post-Stim",3,40,NA,-1.35117034386201
"A","trial","RL","5-HT","Post-Stim",3,41,NA,1.90322099968021
"A","trial","RL","5-HT","Post-Stim",3,42,NA,-1.39229862238803
"A","trial","RL","5-HT","Post-Stim",3,43,NA,3.37755882242312
"A","trial","RL","5-HT","Post-Stim",3,44,NA,5.66874978873346
"A","trial","RL","5-HT","Post-Stim",3,45,NA,2.73709830859301
"A","trial","RL","5-HT","Post-Stim",3,46,NA,-3.27021310876456
"A","trial","RL","5-HT","Post-Stim",3,47,NA,2.01688458713228
"A","trial","RL","5-HT","Post-Stim",3,48,NA,0.177690507828085
"A","trial","RL","5-HT","Post-Stim",3,49,NA,-1.55242432709336
"A","trial","RL","5-HT","Post-Stim",3,50,NA,-1.51385716412936
"A","trial","RL","5-HT","Post-Stim",3,51,NA,-7.34194823466909
"A","trial","RL","5-HT","Post-Stim",3,52,NA,-1.31263329207425
"A","trial","RL","5-HT","Post-Stim",3,53,NA,-1.63311903898135
"A","trial","RL","5-HT","Post-Stim",3,54,NA,4.010475262016
"A","trial","RL","5-HT","Post-Stim",3,55,NA,4.8099649458368
"A","trial","RL","5-HT","Post-Stim",3,56,NA,2.73422553937178
"A","trial","RL","5-HT","Post-Stim",3,57,NA,-3.59826550517286
"A","trial","RL","5-HT","Post-Stim",3,58,NA,0.859698686588185
"A","trial","RL","5-HT","Post-Stim",3,59,NA,0.156371558805718
"A","trial","RL","5-HT","Post-Stim",3,60,NA,-7.10615243387874
"A","trial","RL","5-HT","Post-Stim",3,61,NA,1.47196575296908
"A","trial","RL","5-HT","Post-Stim",3,62,NA,5.61775188301844
"A","trial","RL","5-HT","Post-Stim",3,63,NA,-2.65995364391074
"A","trial","RL","5-HT","Post-Stim",3,64,NA,-2.46666445943977
"A","trial","RL","5-HT","Post-Stim",3,65,NA,0.628353732267533
"A","trial","RL","5-HT","Post-Stim",3,66,NA,-3.05013357914772
"A","trial","RL","5-HT","Post-Stim",3,67,NA,1.98210795039207
"A","trial","RL","5-HT","Post-Stim",3,68,NA,5.76522770519502
"A","trial","RL","5-HT","Post-Stim",3,69,NA,0.30878733685431
"A","trial","RL","5-HT","Post-Stim",3,70,NA,-0.90919538313705
"A","trial","RL","5-HT","Post-Stim",3,71,NA,-0.838128919547884
"A","trial","RL","5-HT","Post-Stim",3,72,NA,-3.96940725179037
"A","trial","RL","5-HT","Post-Stim",3,73,NA,-5.76444208870807
"A","trial","RL","5-HT","Post-Stim",3,74,NA,-5.93860642851116
"A","trial","RL","5-HT","Post-Stim",3,75,NA,4.14048342754632
"A","trial","RL","5-HT","Post-Stim",3,76,NA,-2.76521908488954
"A","trial","RL","5-HT","Post-Stim",3,77,NA,-3.66261447239165
"A","trial","RL","5-HT","Post-Stim",3,78,NA,0.473537628781261
"A","trial","RL","5-HT","Post-Stim",3,79,NA,-1.18631011980055
"A","trial","RL","5-HT","Post-Stim",3,80,NA,-3.33205490252519
"A","trial","RL","5-HT","Post-Stim",3,81,NA,3.43769551103243
"A","trial","RL","5-HT","Post-Stim",3,82,NA,2.76941535381238
"A","trial","RL","5-HT","Post-Stim",3,83,NA,-1.8909152589669
"A","trial","RL","5-HT","Post-Stim",3,84,NA,-3.61843873478568
"A","trial","RL","5-HT","Post-Stim",3,85,NA,-3.64360535342805
"A","trial","RL","5-HT","Post-Stim",3,86,NA,-3.69369240856219
"A","trial","RL","5-HT","Post-Stim",3,87,NA,1.00702870883085
"A","trial","RL","5-HT","Post-Stim",3,88,NA,6.52425437821264
"A","trial","RL","5-HT","Post-Stim",3,89,NA,-1.67151799988316
"A","trial","RL","5-HT","Post-Stim",3,90,NA,-0.633122978970322
"A","trial","RL","5-HT","Post-Stim",3,91,NA,1.81331383885371
"A","trial","RL","5-HT","Post-Stim",3,92,NA,-3.19618204569295
"A","trial","RL","5-HT","Post-Stim",3,93,NA,1.35953204561612
"A","trial","RL","5-HT","Post-Stim",3,94,NA,-0.950643045564737
"A","trial","RL","5-HT","Post-Stim",3,95,NA,0.464026695804382
"A","trial","RL","5-HT","Post-Stim",3,96,NA,3.26312321867552
"A","trial","RL","5-HT","Post-Stim",3,97,NA,-1.04919250611522
"A","trial","RL","5-HT","Post-Stim",3,98,NA,1.31261286828418
"A","trial","RL","5-HT","Post-Stim",3,99,NA,-2.30202657785858
"A","trial","RL","5-HT","Post-Stim",3,100,NA,1.34842451114947
"A","trial","RL","5-HT","Post-Stim",3,101,NA,-4.1708726729154
"A","trial","RL","5-HT","Post-Stim",3,102,NA,0.906048960904512
"A","trial","RL","5-HT","Post-Stim",3,103,NA,0.896360034913921
"A","trial","RL","5-HT","Post-Stim",3,104,NA,-0.868002055678379
"A","trial","RL","5-HT","Post-Stim",3,105,NA,-2.25925658781418
"A","trial","RL","DA","Pre-Stim",3,1,NA,-9.22443972695109
"A","trial","RL","DA","Pre-Stim",3,2,NA,-7.88079467843957
"A","trial","RL","DA","Pre-Stim",3,3,NA,-8.94071548144499
"A","trial","RL","DA","Pre-Stim",3,4,NA,-8.52925733154448
"A","trial","RL","DA","Pre-Stim",3,5,NA,-7.33551788130016
"A","trial","RL","DA","Pre-Stim",3,6,NA,-9.62271313038984
"A","trial","RL","DA","Pre-Stim",3,7,NA,-8.90691868188633
"A","trial","RL","DA","Pre-Stim",3,8,NA,-8.34053255260079
"A","trial","RL","DA","Pre-Stim",3,9,NA,-9.55659765969031
"A","trial","RL","DA","Pre-Stim",3,10,NA,-8.6452693678917
"A","trial","RL","DA","Pre-Stim",3,11,NA,-6.98890868121727
"A","trial","RL","DA","Pre-Stim",3,12,NA,-10.4287637885916
"A","trial","RL","DA","Pre-Stim",3,13,NA,-9.06649094227743
"A","trial","RL","DA","Pre-Stim",3,14,NA,-7.50020944672894
"A","trial","RL","DA","Pre-Stim",3,15,NA,-6.68118775623886
"A","trial","RL","DA","Pre-Stim",3,16,NA,-9.74531474762635
"A","trial","RL","DA","Pre-Stim",3,17,NA,-7.45963905430392
"A","trial","RL","DA","Pre-Stim",3,18,NA,-9.23594971998955
"A","trial","RL","DA","Pre-Stim",3,19,NA,-9.6223126558463
"A","trial","RL","DA","Pre-Stim",3,20,NA,-9.7885682682031
"A","trial","RL","DA","Pre-Stim",3,21,NA,-8.82109777609328
"A","trial","RL","DA","Pre-Stim",3,22,NA,-8.62209481807727
"A","trial","RL","DA","Pre-Stim",3,23,NA,-8.52692180399463
"A","trial","RL","DA","Pre-Stim",3,24,NA,-9.33908045814736
"A","trial","RL","DA","Pre-Stim",3,25,NA,-9.19242363757192
"A","trial","RL","DA","Pre-Stim",3,26,NA,-8.31687892296535
"A","trial","RL","DA","Pre-Stim",3,27,NA,-8.76419414018967
"A","trial","RL","DA","Pre-Stim",3,28,NA,-7.55237481989778
"A","trial","RL","DA","Pre-Stim",3,29,NA,-9.60363946544389
"A","trial","RL","DA","Pre-Stim",3,30,NA,-9.86629592274173
"A","trial","RL","DA","Pre-Stim",3,31,NA,-7.89895219805802
"A","trial","RL","DA","Pre-Stim",3,32,NA,-7.28755322016012
"A","trial","RL","DA","Pre-Stim",3,33,NA,-9.17974584392317
"A","trial","RL","DA","Pre-Stim",3,34,NA,-8.85378393922517
"A","trial","RL","DA","Pre-Stim",3,35,NA,-8.9661082015417
"A","trial","RL","DA","Pre-Stim",3,36,NA,-6.91383470257144
"A","trial","RL","DA","Pre-Stim",3,37,NA,-7.65141594265169
"A","trial","RL","DA","Pre-Stim",3,38,NA,-9.30453255081324
"A","trial","RL","DA","Pre-Stim",3,39,NA,-8.21430409624606
"A","trial","RL","DA","Pre-Stim",3,40,NA,-7.74293462791239
"A","trial","RL","DA","Pre-Stim",3,41,NA,-8.43556957750542
"A","trial","RL","DA","Pre-Stim",3,42,NA,-8.49712194919723
"A","trial","RL","DA","Pre-Stim",3,43,NA,-7.61471275636501
"A","trial","RL","DA","Pre-Stim",3,44,NA,-7.53443310402426
"A","trial","RL","DA","Pre-Stim",3,45,NA,-7.19117803413893
"A","trial","RL","DA","Pre-Stim",3,46,NA,-8.10873369071714
"A","trial","RL","DA","Pre-Stim",3,47,NA,-6.37118268303952
"A","trial","RL","DA","Pre-Stim",3,48,NA,-7.13906743269389
"A","trial","RL","DA","Pre-Stim",3,49,NA,-8.12280360720461
"A","trial","RL","DA","Pre-Stim",3,50,NA,-7.56708264007182
"A","trial","RL","DA","Pre-Stim",3,51,NA,-7.24690837663415
"A","trial","RL","DA","Pre-Stim",3,52,NA,-7.47427111035586
"A","trial","RL","DA","Pre-Stim",3,53,NA,-7.95892340458685
"A","trial","RL","DA","Pre-Stim",3,54,NA,-8.5064188063393
"A","trial","RL","DA","Pre-Stim",3,55,NA,-5.80313386801235
"A","trial","RL","DA","Pre-Stim",3,56,NA,-7.54728189790572
"A","trial","RL","DA","Pre-Stim",3,57,NA,-5.62632917807333
"A","trial","RL","DA","Pre-Stim",3,58,NA,-7.04724625220421
"A","trial","RL","DA","Pre-Stim",3,59,NA,-4.25477507279484
"A","trial","RL","DA","Pre-Stim",3,60,NA,-5.11143541632155
"A","trial","RL","DA","Pre-Stim",3,61,NA,-7.62581998978449
"A","trial","RL","DA","Pre-Stim",3,62,NA,-6.69171729528047
"A","trial","RL","DA","Pre-Stim",3,63,NA,-5.28970745546184
"A","trial","RL","DA","Pre-Stim",3,64,NA,-6.86537379246794
"A","trial","RL","DA","Pre-Stim",3,65,NA,-4.6603544758841
"A","trial","RL","DA","Pre-Stim",3,66,NA,-5.65303868014601
"A","trial","RL","DA","Pre-Stim",3,67,NA,-5.86366126018612
"A","trial","RL","DA","Pre-Stim",3,68,NA,-3.80764043597601
"A","trial","RL","DA","Pre-Stim",3,69,NA,-6.46585340598784
"A","trial","RL","DA","Pre-Stim",3,70,NA,-5.4073005827395
"A","trial","RL","DA","Pre-Stim",3,71,NA,-5.31950073517629
"A","trial","RL","DA","Pre-Stim",3,72,NA,-5.86788359863008
"A","trial","RL","DA","Pre-Stim",3,73,NA,-3.44006971225785
"A","trial","RL","DA","Pre-Stim",3,74,NA,-4.51005256580784
"A","trial","RL","DA","Pre-Stim",3,75,NA,-2.8446607086858
"A","trial","RL","DA","Pre-Stim",3,76,NA,-5.3624430971523
"A","trial","RL","DA","Pre-Stim",3,77,NA,-4.28513711109987
"A","trial","RL","DA","Pre-Stim",3,78,NA,-5.22809139066762
"A","trial","RL","DA","Pre-Stim",3,79,NA,-5.91451342324259
"A","trial","RL","DA","Pre-Stim",3,80,NA,-4.12592263563533
"A","trial","RL","DA","Pre-Stim",3,81,NA,-6.05136728403598
"A","trial","RL","DA","Pre-Stim",3,82,NA,-4.41488222393167
"A","trial","RL","DA","Pre-Stim",3,83,NA,-2.44148765285202
"A","trial","RL","DA","Pre-Stim",3,84,NA,-2.10018318837396
"A","trial","RL","DA","Pre-Stim",3,85,NA,-2.21882239784759
"A","trial","RL","DA","Pre-Stim",3,86,NA,-4.10806111912653
"A","trial","RL","DA","Pre-Stim",3,87,NA,-5.34355734185851
"A","trial","RL","DA","Pre-Stim",3,88,NA,-3.45368081016645
"A","trial","RL","DA","Pre-Stim",3,89,NA,-4.42059442834806
"A","trial","RL","DA","Pre-Stim",3,90,NA,-2.08647232227567
"A","trial","RL","DA","Pre-Stim",3,91,NA,-4.21599923011396
"A","trial","RL","DA","Pre-Stim",3,92,NA,-3.55804294339467
"A","trial","RL","DA","Pre-Stim",3,93,NA,-5.13140960594046
"A","trial","RL","DA","Pre-Stim",3,94,NA,-2.35259475919489
"A","trial","RL","DA","Pre-Stim",3,95,NA,-1.00715171524731
"A","trial","RL","DA","Pre-Stim",3,96,NA,-3.43045913604127
"A","trial","RL","DA","Pre-Stim",3,97,NA,-2.76111737523654
"A","trial","RL","DA","Pre-Stim",3,98,NA,-3.66272402189775
"A","trial","RL","DA","Pre-Stim",3,99,NA,-4.37043016242875
"A","trial","RL","DA","Pre-Stim",3,100,NA,-2.50361652021775
"A","trial","RL","DA","Pre-Stim",3,101,NA,0.904799325567511
"A","trial","RL","DA","Pre-Stim",3,102,NA,-2.81543115294311
"A","trial","RL","DA","Pre-Stim",3,103,NA,-1.57470540503572
"A","trial","RL","DA","Pre-Stim",3,104,NA,-3.22477882349315
"A","trial","RL","DA","Pre-Stim",3,105,NA,-2.78996318242048
"A","trial","RL","5-HT","Pre-Stim",3,1,NA,-4.94980194389828
"A","trial","RL","5-HT","Pre-Stim",3,2,NA,-4.57408129607181
"A","trial","RL","5-HT","Pre-Stim",3,3,NA,-0.537611575302375
"A","trial","RL","5-HT","Pre-Stim",3,4,NA,-4.25523002886089
"A","trial","RL","5-HT","Pre-Stim",3,5,NA,0.775227005555445
"A","trial","RL","5-HT","Pre-Stim",3,6,NA,-2.38839177762429
"A","trial","RL","5-HT","Pre-Stim",3,7,NA,-6.20674704794077
"A","trial","RL","5-HT","Pre-Stim",3,8,NA,-0.394200397840056
"A","trial","RL","5-HT","Pre-Stim",3,9,NA,0.743497820317538
"A","trial","RL","5-HT","Pre-Stim",3,10,NA,-3.9553216655999
"A","trial","RL","5-HT","Pre-Stim",3,11,NA,-1.8114811238277
"A","trial","RL","5-HT","Pre-Stim",3,12,NA,-4.63774566296106
"A","trial","RL","5-HT","Pre-Stim",3,13,NA,-8.28768812498214
"A","trial","RL","5-HT","Pre-Stim",3,14,NA,-4.50304936225658
"A","trial","RL","5-HT","Pre-Stim",3,15,NA,1.16105364265058
"A","trial","RL","5-HT","Pre-Stim",3,16,NA,-5.92110400562851
"A","trial","RL","5-HT","Pre-Stim",3,17,NA,-5.03045238815776
"A","trial","RL","5-HT","Pre-Stim",3,18,NA,0.466348405179896
"A","trial","RL","5-HT","Pre-Stim",3,19,NA,-0.979415963676327
"A","trial","RL","5-HT","Pre-Stim",3,20,NA,-1.23916989865935
"A","trial","RL","5-HT","Pre-Stim",3,21,NA,2.03147754837983
"A","trial","RL","5-HT","Pre-Stim",3,22,NA,2.47568532298773
"A","trial","RL","5-HT","Pre-Stim",3,23,NA,1.58512529202
"A","trial","RL","5-HT","Pre-Stim",3,24,NA,-3.03601756551892
"A","trial","RL","5-HT","Pre-Stim",3,25,NA,-2.78437509836824
"A","trial","RL","5-HT","Pre-Stim",3,26,NA,0.457752152310481
"A","trial","RL","5-HT","Pre-Stim",3,27,NA,2.30620589762832
"A","trial","RL","5-HT","Pre-Stim",3,28,NA,-2.41384757599127
"A","trial","RL","5-HT","Pre-Stim",3,29,NA,3.37494575999621
"A","trial","RL","5-HT","Pre-Stim",3,30,NA,0.363827247396552
"A","trial","RL","5-HT","Pre-Stim",3,31,NA,-2.05600468341671
"A","trial","RL","5-HT","Pre-Stim",3,32,NA,2.01399901612588
"A","trial","RL","5-HT","Pre-Stim",3,33,NA,-0.920184611229908
"A","trial","RL","5-HT","Pre-Stim",3,34,NA,3.1064690698551
"A","trial","RL","5-HT","Pre-Stim",3,35,NA,2.12500587704299
"A","trial","RL","5-HT","Pre-Stim",3,36,NA,1.97892658079787
"A","trial","RL","5-HT","Pre-Stim",3,37,NA,0.927491308108783
"A","trial","RL","5-HT","Pre-Stim",3,38,NA,-1.08020978222697
"A","trial","RL","5-HT","Pre-Stim",3,39,NA,0.567883972251168
"A","trial","RL","5-HT","Pre-Stim",3,40,NA,5.50178152100735
"A","trial","RL","5-HT","Pre-Stim",3,41,NA,3.17974444435392
"A","trial","RL","5-HT","Pre-Stim",3,42,NA,1.66550453239507
"A","trial","RL","5-HT","Pre-Stim",3,43,NA,-0.446491400058751
"A","trial","RL","5-HT","Pre-Stim",3,44,NA,-1.45492395769058
