"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","DA","Pre-Stim",3,39,NA,-6.94797344138285
"A","trial","RL","DA","Pre-Stim",3,40,NA,-8.03938066758189
"A","trial","RL","DA","Pre-Stim",3,41,NA,-7.46937194806535
"A","trial","RL","DA","Pre-Stim",3,42,NA,-6.21606940112618
"A","trial","RL","DA","Pre-Stim",3,43,NA,-5.94418950488794
"A","trial","RL","DA","Pre-Stim",3,44,NA,-6.35402616651973
"A","trial","RL","DA","Pre-Stim",3,45,NA,-6.1364119711472
"A","trial","RL","DA","Pre-Stim",3,46,NA,-6.22988664598662
"A","trial","RL","DA","Pre-Stim",3,47,NA,-7.2319732374042
"A","trial","RL","DA","Pre-Stim",3,48,NA,-5.4050022993034
"A","trial","RL","DA","Pre-Stim",3,49,NA,-6.23132959958569
"A","trial","RL","DA","Pre-Stim",3,50,NA,-7.44291307454274
"A","trial","RL","DA","Pre-Stim",3,51,NA,-6.0968883104916
"A","trial","RL","DA","Pre-Stim",3,52,NA,-5.99667514865717
"A","trial","RL","DA","Pre-Stim",3,53,NA,-5.75524338522888
"A","trial","RL","DA","Pre-Stim",3,54,NA,-5.83186612836474
"A","trial","RL","DA","Pre-Stim",3,55,NA,-6.67882353474642
"A","trial","RL","DA","Pre-Stim",3,56,NA,-6.062063784139
"A","trial","RL","DA","Pre-Stim",3,57,NA,-6.5810031529073
"A","trial","RL","DA","Pre-Stim",3,58,NA,-6.29240985326687
"A","trial","RL","DA","Pre-Stim",3,59,NA,-4.24665909122398
"A","trial","RL","DA","Pre-Stim",3,60,NA,-4.94393662232399
"A","trial","RL","DA","Pre-Stim",3,61,NA,-5.43005146580201
"A","trial","RL","DA","Pre-Stim",3,62,NA,-4.80288191372856
"A","trial","RL","DA","Pre-Stim",3,63,NA,-4.44114083761397
"A","trial","RL","DA","Pre-Stim",3,64,NA,-4.87363341756929
"A","trial","RL","DA","Pre-Stim",3,65,NA,-5.72968298321286
"A","trial","RL","DA","Pre-Stim",3,66,NA,-2.89733220425853
"A","trial","RL","DA","Pre-Stim",3,67,NA,-4.45482113170205
"A","trial","RL","DA","Pre-Stim",3,68,NA,-3.45196053816411
"A","trial","RL","DA","Pre-Stim",3,69,NA,-6.13623030718254
"A","trial","RL","DA","Pre-Stim",3,70,NA,-4.49509982822946
"A","trial","RL","DA","Pre-Stim",3,71,NA,-3.46930299905692
"A","trial","RL","DA","Pre-Stim",3,72,NA,-3.82513965342746
"A","trial","RL","DA","Pre-Stim",3,73,NA,-3.20656623078396
"A","trial","RL","DA","Pre-Stim",3,74,NA,-2.17481703774048
"A","trial","RL","DA","Pre-Stim",3,75,NA,-4.52026981161696
"A","trial","RL","DA","Pre-Stim",3,76,NA,-4.41491548423459
"A","trial","RL","DA","Pre-Stim",3,77,NA,-2.24282602472298
"A","trial","RL","DA","Pre-Stim",3,78,NA,-2.55121704214401
"A","trial","RL","DA","Pre-Stim",3,79,NA,-3.7301144241384
"A","trial","RL","DA","Pre-Stim",3,80,NA,-2.57484428587727
"A","trial","RL","DA","Pre-Stim",3,81,NA,-3.78760554429619
"A","trial","RL","DA","Pre-Stim",3,82,NA,-3.56140114459257
"A","trial","RL","DA","Pre-Stim",3,83,NA,-1.85368978987376
"A","trial","RL","DA","Pre-Stim",3,84,NA,-1.71450606859432
"A","trial","RL","DA","Pre-Stim",3,85,NA,-3.67675609324826
"A","trial","RL","DA","Pre-Stim",3,86,NA,-3.80473470118017
"A","trial","RL","DA","Pre-Stim",3,87,NA,-2.18539268474402
"A","trial","RL","DA","Pre-Stim",3,88,NA,-1.92208937295546
"A","trial","RL","DA","Pre-Stim",3,89,NA,-2.52568395212085
"A","trial","RL","DA","Pre-Stim",3,90,NA,-1.20941927780979
"A","trial","RL","DA","Pre-Stim",3,91,NA,-2.67157091337341
"A","trial","RL","DA","Pre-Stim",3,92,NA,-3.88561305641802
"A","trial","RL","DA","Pre-Stim",3,93,NA,-1.20209860610552
"A","trial","RL","DA","Pre-Stim",3,94,NA,-1.5431798598913
"A","trial","RL","DA","Pre-Stim",3,95,NA,-0.565283716151887
"A","trial","RL","DA","Pre-Stim",3,96,NA,-1.59084708787187
"A","trial","RL","DA","Pre-Stim",3,97,NA,-1.76476214923611
"A","trial","RL","DA","Pre-Stim",3,98,NA,-2.76860342916308
"A","trial","RL","DA","Pre-Stim",3,99,NA,-1.68514538671872
"A","trial","RL","DA","Pre-Stim",3,100,NA,-0.421404614847435
"A","trial","RL","DA","Pre-Stim",3,101,NA,-1.37331866852964
"A","trial","RL","DA","Pre-Stim",3,102,NA,-1.01236052625942
"A","trial","RL","DA","Pre-Stim",3,103,NA,-1.95244756199474
"A","trial","RL","DA","Pre-Stim",3,104,NA,-0.390564240619485
"A","trial","RL","DA","Pre-Stim",3,105,NA,-0.986658701710936
"A","trial","RL","5-HT","Post-Stim",3,1,NA,-7.50261913579031
"A","trial","RL","5-HT","Post-Stim",3,2,NA,-8.57987485549805
"A","trial","RL","5-HT","Post-Stim",3,3,NA,9.77053555481304
"A","trial","RL","5-HT","Post-Stim",3,4,NA,-4.55260512869316
"A","trial","RL","5-HT","Post-Stim",3,5,NA,-3.72389841380345
"A","trial","RL","5-HT","Post-Stim",3,6,NA,-4.98047005302727
"A","trial","RL","5-HT","Post-Stim",3,7,NA,-3.3212558127302
"A","trial","RL","5-HT","Post-Stim",3,8,NA,-3.74956867470358
"A","trial","RL","5-HT","Post-Stim",3,9,NA,-4.17376458677098
"A","trial","RL","5-HT","Post-Stim",3,10,NA,4.83954214978759
"A","trial","RL","5-HT","Post-Stim",3,11,NA,1.28576176993147
"A","trial","RL","5-HT","Post-Stim",3,12,NA,-3.14706279365088
"A","trial","RL","5-HT","Post-Stim",3,13,NA,-2.95723690557805
"A","trial","RL","5-HT","Post-Stim",3,14,NA,-9.20265141012716
